Epoch,Dataset,Recall,Precision,TopKAcc
10,Brachypodium_distachyon_5e3,0.9611,0.0357,0.3280
10,Brassica_juncea_5e3,0.9625,0.0353,0.2929
10,Brassica_napus_5e3,0.9646,0.0332,0.3139
10,Cajanus_cajan_5e3,0.9940,0.1036,0.5028
10,Glycine_max_5e3,0.9900,0.1006,0.5581
10,Gossypium_raimondii_5e3,0.9759,0.0576,0.3712
10,Lactuca_sativa_5e3,0.9839,0.0550,0.3829
10,Medicago_truncatula_5e3,0.9907,0.0782,0.5009
10,Pisum_sativum_5e3,0.9858,0.0795,0.4851
10,Theobroma_cacao_5e3,0.9911,0.1183,0.5659
11,Brachypodium_distachyon_5e3,0.2371,0.7202,0.4081
11,Brassica_juncea_5e3,0.1608,0.5076,0.3390
11,Brassica_napus_5e3,0.2436,0.6557,0.3723
11,Cajanus_cajan_5e3,0.6640,0.6690,0.5933
11,Glycine_max_5e3,0.6664,0.8078,0.6767
11,Gossypium_raimondii_5e3,0.2964,0.5786,0.4030
11,Lactuca_sativa_5e3,0.3444,0.7116,0.4825
11,Medicago_truncatula_5e3,0.5155,0.8246,0.5780
11,Pisum_sativum_5e3,0.6498,0.6726,0.5649
11,Theobroma_cacao_5e3,0.6772,0.7132,0.6425
12,Brachypodium_distachyon_5e3,0.3693,0.6804,0.4573
12,Brassica_juncea_5e3,0.1498,0.6281,0.3624
12,Brassica_napus_5e3,0.3468,0.6500,0.4115
12,Cajanus_cajan_5e3,0.7138,0.7504,0.6527
12,Glycine_max_5e3,0.7543,0.8166,0.7269
12,Gossypium_raimondii_5e3,0.4475,0.5763,0.4446
12,Lactuca_sativa_5e3,0.4975,0.7199,0.5503
12,Medicago_truncatula_5e3,0.6354,0.8171,0.6387
12,Pisum_sativum_5e3,0.6614,0.7492,0.6165
12,Theobroma_cacao_5e3,0.7838,0.7271,0.6875
13,Brachypodium_distachyon_5e3,0.3471,0.8674,0.5089
13,Brassica_juncea_5e3,0.2479,0.6322,0.4130
13,Brassica_napus_5e3,0.3104,0.8200,0.4562
13,Cajanus_cajan_5e3,0.6490,0.8704,0.6894
13,Glycine_max_5e3,0.7199,0.9408,0.7591
13,Gossypium_raimondii_5e3,0.4050,0.6908,0.4920
13,Lactuca_sativa_5e3,0.5080,0.8636,0.6059
13,Medicago_truncatula_5e3,0.6428,0.9144,0.6836
13,Pisum_sativum_5e3,0.6599,0.8572,0.6619
13,Theobroma_cacao_5e3,0.6940,0.8617,0.7284
14,Brachypodium_distachyon_5e3,0.4837,0.7934,0.5484
14,Brassica_juncea_5e3,0.3255,0.6623,0.4506
14,Brassica_napus_5e3,0.4234,0.7591,0.4944
14,Cajanus_cajan_5e3,0.8050,0.7986,0.7167
14,Glycine_max_5e3,0.7945,0.8979,0.7766
14,Gossypium_raimondii_5e3,0.5465,0.6764,0.5367
14,Lactuca_sativa_5e3,0.5951,0.8506,0.6456
14,Medicago_truncatula_5e3,0.7308,0.8852,0.7124
14,Pisum_sativum_5e3,0.7463,0.8177,0.6839
14,Theobroma_cacao_5e3,0.8311,0.8136,0.7617
15,Brachypodium_distachyon_5e3,0.5226,0.7932,0.5712
15,Brassica_juncea_5e3,0.4313,0.6020,0.4728
15,Brassica_napus_5e3,0.4533,0.7785,0.5194
15,Cajanus_cajan_5e3,0.8146,0.8218,0.7360
15,Glycine_max_5e3,0.8136,0.9033,0.7867
15,Gossypium_raimondii_5e3,0.6195,0.6258,0.5531
15,Lactuca_sativa_5e3,0.6648,0.8023,0.6643
15,Medicago_truncatula_5e3,0.7631,0.8769,0.7308
15,Pisum_sativum_5e3,0.7623,0.8136,0.6916
15,Theobroma_cacao_5e3,0.8535,0.8110,0.7763
16,Brachypodium_distachyon_5e3,0.5433,0.8075,0.5881
16,Brassica_juncea_5e3,0.4270,0.6724,0.4941
16,Brassica_napus_5e3,0.4656,0.7994,0.5330
16,Cajanus_cajan_5e3,0.8167,0.8541,0.7424
16,Glycine_max_5e3,0.8250,0.9064,0.7950
16,Gossypium_raimondii_5e3,0.6055,0.7277,0.5816
16,Lactuca_sativa_5e3,0.6675,0.8360,0.6788
16,Medicago_truncatula_5e3,0.7847,0.8741,0.7425
16,Pisum_sativum_5e3,0.7552,0.8480,0.6999
16,Theobroma_cacao_5e3,0.8590,0.8437,0.7900
17,Brachypodium_distachyon_5e3,0.5659,0.8062,0.6042
17,Brassica_juncea_5e3,0.4470,0.7118,0.5157
17,Brassica_napus_5e3,0.4817,0.7922,0.5433
17,Cajanus_cajan_5e3,0.8186,0.8750,0.7511
17,Glycine_max_5e3,0.8322,0.9152,0.8021
17,Gossypium_raimondii_5e3,0.6292,0.7201,0.5998
17,Lactuca_sativa_5e3,0.6721,0.8640,0.6947
17,Medicago_truncatula_5e3,0.7938,0.8896,0.7535
17,Pisum_sativum_5e3,0.7768,0.8562,0.7124
17,Theobroma_cacao_5e3,0.8421,0.8774,0.7935
18,Brachypodium_distachyon_5e3,0.5200,0.9063,0.6119
18,Brassica_juncea_5e3,0.4245,0.7184,0.5220
18,Brassica_napus_5e3,0.4645,0.8474,0.5559
18,Cajanus_cajan_5e3,0.8172,0.8968,0.7583
18,Glycine_max_5e3,0.8202,0.9426,0.8060
18,Gossypium_raimondii_5e3,0.5678,0.8004,0.6034
18,Lactuca_sativa_5e3,0.6517,0.9166,0.7026
18,Medicago_truncatula_5e3,0.7737,0.9311,0.7590
18,Pisum_sativum_5e3,0.7682,0.8689,0.7155
18,Theobroma_cacao_5e3,0.8382,0.8806,0.7920
19,Brachypodium_distachyon_5e3,0.5671,0.8687,0.6209
19,Brassica_juncea_5e3,0.4274,0.7871,0.5395
19,Brassica_napus_5e3,0.5009,0.8310,0.5647
19,Cajanus_cajan_5e3,0.8297,0.9001,0.7621
19,Glycine_max_5e3,0.8301,0.9419,0.8114
19,Gossypium_raimondii_5e3,0.6384,0.7910,0.6260
19,Lactuca_sativa_5e3,0.6906,0.8967,0.7141
19,Medicago_truncatula_5e3,0.8015,0.9226,0.7698
19,Pisum_sativum_5e3,0.7844,0.8672,0.7235
19,Theobroma_cacao_5e3,0.8392,0.9170,0.8035
20,Brachypodium_distachyon_5e3,0.5697,0.9146,0.6387
20,Brassica_juncea_5e3,0.4730,0.7272,0.5467
20,Brassica_napus_5e3,0.4912,0.8692,0.5776
20,Cajanus_cajan_5e3,0.8085,0.9434,0.7696
20,Glycine_max_5e3,0.8244,0.9595,0.8166
20,Gossypium_raimondii_5e3,0.6477,0.8028,0.6364
20,Lactuca_sativa_5e3,0.6764,0.9301,0.7221
20,Medicago_truncatula_5e3,0.7930,0.9440,0.7757
20,Pisum_sativum_5e3,0.7715,0.8946,0.7281
20,Theobroma_cacao_5e3,0.8412,0.9209,0.8118
21,Brachypodium_distachyon_5e3,0.6071,0.8656,0.6447
21,Brassica_juncea_5e3,0.5110,0.6795,0.5505
21,Brassica_napus_5e3,0.5218,0.8399,0.5803
21,Cajanus_cajan_5e3,0.8556,0.8860,0.7704
21,Glycine_max_5e3,0.8508,0.9295,0.8165
21,Gossypium_raimondii_5e3,0.7114,0.7027,0.6441
21,Lactuca_sativa_5e3,0.7299,0.8754,0.7283
21,Medicago_truncatula_5e3,0.8270,0.9129,0.7806
21,Pisum_sativum_5e3,0.8056,0.8429,0.7310
21,Theobroma_cacao_5e3,0.8798,0.8936,0.8143
22,Brachypodium_distachyon_5e3,0.5745,0.9156,0.6498
22,Brassica_juncea_5e3,0.4652,0.7841,0.5541
22,Brassica_napus_5e3,0.5088,0.8679,0.5882
22,Cajanus_cajan_5e3,0.8243,0.9315,0.7745
22,Glycine_max_5e3,0.8384,0.9541,0.8208
22,Gossypium_raimondii_5e3,0.6302,0.8114,0.6402
22,Lactuca_sativa_5e3,0.6970,0.9226,0.7299
22,Medicago_truncatula_5e3,0.8109,0.9378,0.7840
22,Pisum_sativum_5e3,0.7827,0.8998,0.7331
22,Theobroma_cacao_5e3,0.8519,0.9274,0.8165
23,Brachypodium_distachyon_5e3,0.5977,0.9083,0.6565
23,Brassica_juncea_5e3,0.4520,0.8149,0.5593
23,Brassica_napus_5e3,0.5151,0.8690,0.5903
23,Cajanus_cajan_5e3,0.8320,0.9371,0.7734
23,Glycine_max_5e3,0.8397,0.9582,0.8228
23,Gossypium_raimondii_5e3,0.6477,0.8395,0.6516
23,Lactuca_sativa_5e3,0.7113,0.9277,0.7380
23,Medicago_truncatula_5e3,0.8277,0.9267,0.7876
23,Pisum_sativum_5e3,0.7894,0.8950,0.7367
23,Theobroma_cacao_5e3,0.8924,0.8843,0.8208
24,Brachypodium_distachyon_5e3,0.6329,0.8669,0.6596
24,Brassica_juncea_5e3,0.5145,0.7428,0.5637
24,Brassica_napus_5e3,0.5594,0.8202,0.5974
24,Cajanus_cajan_5e3,0.8438,0.9278,0.7758
24,Glycine_max_5e3,0.8602,0.9338,0.8253
24,Gossypium_raimondii_5e3,0.6869,0.7888,0.6550
24,Lactuca_sativa_5e3,0.7505,0.8784,0.7457
24,Medicago_truncatula_5e3,0.8476,0.9116,0.7940
24,Pisum_sativum_5e3,0.8119,0.8781,0.7382
24,Theobroma_cacao_5e3,0.8804,0.9099,0.8218
25,Brachypodium_distachyon_5e3,0.6522,0.8179,0.6598
25,Brassica_juncea_5e3,0.5469,0.6933,0.5664
25,Brassica_napus_5e3,0.5733,0.7800,0.5951
25,Cajanus_cajan_5e3,0.8597,0.8860,0.7774
25,Glycine_max_5e3,0.8769,0.9025,0.8265
25,Gossypium_raimondii_5e3,0.7082,0.7808,0.6661
25,Lactuca_sativa_5e3,0.7585,0.8632,0.7427
25,Medicago_truncatula_5e3,0.8573,0.8912,0.7946
25,Pisum_sativum_5e3,0.8173,0.8640,0.7389
25,Theobroma_cacao_5e3,0.8904,0.8849,0.8160
26,Brachypodium_distachyon_5e3,0.6151,0.9051,0.6665
26,Brassica_juncea_5e3,0.5132,0.7782,0.5796
26,Brassica_napus_5e3,0.5348,0.8664,0.6022
26,Cajanus_cajan_5e3,0.8431,0.9219,0.7774
26,Glycine_max_5e3,0.8480,0.9579,0.8262
26,Gossypium_raimondii_5e3,0.6466,0.8568,0.6673
26,Lactuca_sativa_5e3,0.7292,0.9204,0.7457
26,Medicago_truncatula_5e3,0.8342,0.9375,0.7961
26,Pisum_sativum_5e3,0.7938,0.9035,0.7404
26,Theobroma_cacao_5e3,0.8707,0.9262,0.8208
27,Brachypodium_distachyon_5e3,0.6560,0.8789,0.6758
27,Brassica_juncea_5e3,0.5564,0.7330,0.5774
27,Brassica_napus_5e3,0.5930,0.8166,0.6121
27,Cajanus_cajan_5e3,0.8596,0.9245,0.7825
27,Glycine_max_5e3,0.8704,0.9411,0.8317
27,Gossypium_raimondii_5e3,0.7124,0.8172,0.6728
27,Lactuca_sativa_5e3,0.7526,0.9116,0.7540
27,Medicago_truncatula_5e3,0.8451,0.9415,0.8020
27,Pisum_sativum_5e3,0.8071,0.9065,0.7461
