Epoch,Dataset,Recall,Precision,TopKAcc
128,Brassica_napus,0.9783,0.9857,0.9293
129,Brassica_napus,0.9765,0.9887,0.9292
130,Brassica_napus,0.9787,0.9858,0.9294
131,Brassica_napus,0.9767,0.9888,0.9299
132,Brassica_napus,0.9793,0.9849,0.9303
133,Brassica_napus,0.9787,0.9880,0.9304
134,Brassica_napus,0.9781,0.9893,0.9302
135,Brassica_napus,0.9797,0.9855,0.9306
136,Brassica_napus,0.9795,0.9849,0.9306
137,Brassica_napus,0.9799,0.9880,0.9309
138,Brassica_napus,0.9812,0.9843,0.9311
139,Brassica_napus,0.9806,0.9865,0.9314
140,Brassica_napus,0.9813,0.9864,0.9312
141,Brassica_napus,0.9796,0.9878,0.9314
142,Brassica_napus,0.9810,0.9864,0.9317
143,Brassica_napus,0.9803,0.9882,0.9319
144,Brassica_napus,0.9814,0.9876,0.9322
145,Brassica_napus,0.9796,0.9865,0.9315
146,Brassica_napus,0.9814,0.9874,0.9322
147,Brassica_napus,0.9817,0.9883,0.9329
148,Brassica_napus,0.9804,0.9903,0.9328
149,Brassica_napus,0.9813,0.9862,0.9319
150,Brassica_napus,0.9819,0.9875,0.9322
151,Brassica_napus,0.9831,0.9848,0.9330
