Epoch,Dataset,Recall,Precision,TopKAcc
123,Brassica_juncea,0.9940,0.9885,0.9285
124,Brassica_juncea,0.9932,0.9895,0.9286
125,Brassica_juncea,0.9956,0.9857,0.9292
126,Brassica_juncea,0.9931,0.9906,0.9285
127,Brassica_juncea,0.9940,0.9898,0.9292
128,Brassica_juncea,0.9954,0.9868,0.9289
129,Brassica_juncea,0.9937,0.9859,0.9279
130,Brassica_juncea,0.9934,0.9909,0.9289
131,Brassica_juncea,0.9959,0.9881,0.9289
132,Brassica_juncea,0.9954,0.9878,0.9289
133,Brassica_juncea,0.9956,0.9904,0.9291
134,Brassica_juncea,0.9943,0.9889,0.9291
135,Brassica_juncea,0.9953,0.9895,0.9291
136,Brassica_juncea,0.9940,0.9873,0.9292
137,Brassica_juncea,0.9940,0.9895,0.9286
138,Brassica_juncea,0.9949,0.9882,0.9295
139,Brassica_juncea,0.9935,0.9873,0.9292
140,Brassica_juncea,0.9952,0.9873,0.9293
141,Brassica_juncea,0.9949,0.9870,0.9291
142,Brassica_juncea,0.9956,0.9883,0.9298
143,Brassica_juncea,0.9941,0.9899,0.9289
144,Brassica_juncea,0.9953,0.9865,0.9293
145,Brassica_juncea,0.9947,0.9899,0.9291
146,Brassica_juncea,0.9952,0.9879,0.9285
147,Brassica_juncea,0.9947,0.9889,0.9291
