Epoch,Dataset,Recall,Precision,TopKAcc
110,Brachypodium_distachyon,0.9837,0.9932,0.9362
111,Brachypodium_distachyon,0.9837,0.9921,0.9361
112,Brachypodium_distachyon,0.9839,0.9935,0.9364
113,Brachypodium_distachyon,0.9848,0.9903,0.9369
114,Brachypodium_distachyon,0.9844,0.9929,0.9370
115,Brachypodium_distachyon,0.9848,0.9916,0.9367
116,Brachypodium_distachyon,0.9842,0.9926,0.9371
117,Brachypodium_distachyon,0.9849,0.9933,0.9373
118,Brachypodium_distachyon,0.9853,0.9924,0.9377
119,Brachypodium_distachyon,0.9858,0.9924,0.9373
120,Brachypodium_distachyon,0.9857,0.9914,0.9376
121,Brachypodium_distachyon,0.9855,0.9930,0.9376
122,Brachypodium_distachyon,0.9857,0.9927,0.9381
123,Brachypodium_distachyon,0.9861,0.9939,0.9385
124,Brachypodium_distachyon,0.9872,0.9933,0.9383
125,Brachypodium_distachyon,0.9860,0.9926,0.9384
126,Brachypodium_distachyon,0.9870,0.9936,0.9387
127,Brachypodium_distachyon,0.9876,0.9930,0.9390
128,Brachypodium_distachyon,0.9877,0.9920,0.9385
129,Brachypodium_distachyon,0.9874,0.9929,0.9390
130,Brachypodium_distachyon,0.9885,0.9916,0.9392
131,Brachypodium_distachyon,0.9876,0.9942,0.9392
132,Brachypodium_distachyon,0.9877,0.9932,0.9389
133,Brachypodium_distachyon,0.9886,0.9927,0.9397
134,Brachypodium_distachyon,0.9882,0.9926,0.9396
135,Brachypodium_distachyon,0.9886,0.9934,0.9401
136,Brachypodium_distachyon,0.9890,0.9919,0.9398
137,Brachypodium_distachyon,0.9894,0.9931,0.9399
138,Brachypodium_distachyon,0.9892,0.9925,0.9397
139,Brachypodium_distachyon,0.9890,0.9949,0.9402
140,Brachypodium_distachyon,0.9895,0.9940,0.9407
141,Brachypodium_distachyon,0.9898,0.9927,0.9406
142,Brachypodium_distachyon,0.9898,0.9923,0.9406
143,Brachypodium_distachyon,0.9894,0.9946,0.9408
144,Brachypodium_distachyon,0.9893,0.9947,0.9407
145,Brachypodium_distachyon,0.9897,0.9939,0.9408
146,Brachypodium_distachyon,0.9900,0.9930,0.9407
147,Brachypodium_distachyon,0.9897,0.9942,0.9413
148,Brachypodium_distachyon,0.9898,0.9940,0.9409
149,Brachypodium_distachyon,0.9901,0.9943,0.9412
150,Brachypodium_distachyon,0.9900,0.9938,0.9411
151,Brachypodium_distachyon,0.9907,0.9945,0.9414
152,Brachypodium_distachyon,0.9912,0.9921,0.9416
153,Brachypodium_distachyon,0.9910,0.9926,0.9415
154,Brachypodium_distachyon,0.9915,0.9914,0.9415
155,Brachypodium_distachyon,0.9905,0.9943,0.9413
156,Brachypodium_distachyon,0.9907,0.9930,0.9414
157,Brachypodium_distachyon,0.9914,0.9931,0.9418
158,Brachypodium_distachyon,0.9911,0.9943,0.9421
159,Brachypodium_distachyon,0.9914,0.9920,0.9417
160,Brachypodium_distachyon,0.9912,0.9949,0.9420
161,Brachypodium_distachyon,0.9909,0.9946,0.9419
162,Brachypodium_distachyon,0.9913,0.9945,0.9417
163,Brachypodium_distachyon,0.9911,0.9954,0.9423
164,Brachypodium_distachyon,0.9914,0.9931,0.9420
165,Brachypodium_distachyon,0.9917,0.9935,0.9425
166,Brachypodium_distachyon,0.9915,0.9933,0.9420
167,Brachypodium_distachyon,0.9916,0.9930,0.9420
168,Brachypodium_distachyon,0.9910,0.9959,0.9421
169,Brachypodium_distachyon,0.9924,0.9928,0.9425
170,Brachypodium_distachyon,0.9918,0.9954,0.9424
171,Brachypodium_distachyon,0.9919,0.9941,0.9430
172,Brachypodium_distachyon,0.9926,0.9931,0.9428
173,Brachypodium_distachyon,0.9925,0.9930,0.9429
174,Brachypodium_distachyon,0.9915,0.9958,0.9430
175,Brachypodium_distachyon,0.9929,0.9924,0.9428
176,Brachypodium_distachyon,0.9921,0.9895,0.9422
177,Brachypodium_distachyon,0.9922,0.9945,0.9430
178,Brachypodium_distachyon,0.9927,0.9933,0.9432
179,Brachypodium_distachyon,0.9925,0.9933,0.9430
180,Brachypodium_distachyon,0.9924,0.9936,0.9432
181,Brachypodium_distachyon,0.9925,0.9939,0.9432
182,Brachypodium_distachyon,0.9930,0.9953,0.9433
183,Brachypodium_distachyon,0.9930,0.9943,0.9431
184,Brachypodium_distachyon,0.9930,0.9943,0.9432
185,Brachypodium_distachyon,0.9930,0.9952,0.9433
186,Brachypodium_distachyon,0.9929,0.9950,0.9432
187,Brachypodium_distachyon,0.9923,0.9913,0.9433
