Epoch,Dataset,Recall,Precision,TopKAcc
10,Brachypodium_distachyon_5e3,0.9400,0.0308,0.2695
10,Brassica_juncea_5e3,0.9655,0.0238,0.2741
10,Brassica_napus_5e3,0.9465,0.0290,0.2883
10,Cajanus_cajan_5e3,0.9926,0.0789,0.4555
10,Glycine_max_5e3,0.9867,0.0775,0.4707
10,Gossypium_raimondii_5e3,0.9784,0.0399,0.3329
10,Lactuca_sativa_5e3,0.9723,0.0466,0.3317
10,Medicago_truncatula_5e3,0.9794,0.0708,0.4494
10,Pisum_sativum_5e3,0.9817,0.0641,0.4370
10,Theobroma_cacao_5e3,0.9911,0.0875,0.5066
11,Brachypodium_distachyon_5e3,0.1384,0.6613,0.3187
11,Brassica_juncea_5e3,0.1318,0.4600,0.2966
11,Brassica_napus_5e3,0.1760,0.6658,0.3279
11,Cajanus_cajan_5e3,0.4746,0.6677,0.5174
11,Glycine_max_5e3,0.5866,0.7292,0.5933
11,Gossypium_raimondii_5e3,0.2635,0.5655,0.3740
11,Lactuca_sativa_5e3,0.2872,0.6289,0.3968
11,Medicago_truncatula_5e3,0.4563,0.7576,0.5065
11,Pisum_sativum_5e3,0.5370,0.6284,0.4890
11,Theobroma_cacao_5e3,0.6423,0.6275,0.5575
12,Brachypodium_distachyon_5e3,0.1775,0.7369,0.3680
12,Brassica_juncea_5e3,0.1166,0.5368,0.3314
12,Brassica_napus_5e3,0.2225,0.7246,0.3689
12,Cajanus_cajan_5e3,0.5717,0.7497,0.6005
12,Glycine_max_5e3,0.6671,0.8336,0.6810
12,Gossypium_raimondii_5e3,0.2083,0.6587,0.4217
12,Lactuca_sativa_5e3,0.3833,0.7069,0.4759
12,Medicago_truncatula_5e3,0.5445,0.7985,0.5714
12,Pisum_sativum_5e3,0.6059,0.7368,0.5694
12,Theobroma_cacao_5e3,0.6711,0.7328,0.6395
13,Brachypodium_distachyon_5e3,0.3391,0.6692,0.4196
13,Brassica_juncea_5e3,0.3261,0.3991,0.3522
13,Brassica_napus_5e3,0.3423,0.6888,0.4119
13,Cajanus_cajan_5e3,0.7348,0.7231,0.6526
13,Glycine_max_5e3,0.7584,0.8258,0.7248
13,Gossypium_raimondii_5e3,0.4343,0.5876,0.4606
13,Lactuca_sativa_5e3,0.5071,0.6891,0.5360
13,Medicago_truncatula_5e3,0.6643,0.7808,0.6296
13,Pisum_sativum_5e3,0.6926,0.7207,0.6134
13,Theobroma_cacao_5e3,0.7490,0.7439,0.6974
14,Brachypodium_distachyon_5e3,0.2972,0.8648,0.4664
14,Brassica_juncea_5e3,0.2034,0.6040,0.3763
14,Brassica_napus_5e3,0.2970,0.8885,0.4423
14,Cajanus_cajan_5e3,0.6838,0.8693,0.6906
14,Glycine_max_5e3,0.7148,0.9403,0.7493
14,Gossypium_raimondii_5e3,0.3201,0.7877,0.4813
14,Lactuca_sativa_5e3,0.4447,0.8902,0.5802
14,Medicago_truncatula_5e3,0.6195,0.9234,0.6659
14,Pisum_sativum_5e3,0.6308,0.8658,0.6473
14,Theobroma_cacao_5e3,0.7049,0.8715,0.7354
15,Brachypodium_distachyon_5e3,0.3997,0.7559,0.4827
15,Brassica_juncea_5e3,0.3130,0.5478,0.3926
15,Brassica_napus_5e3,0.3720,0.7447,0.4517
15,Cajanus_cajan_5e3,0.7643,0.8070,0.6988
15,Glycine_max_5e3,0.7763,0.8838,0.7569
15,Gossypium_raimondii_5e3,0.4521,0.6998,0.5064
15,Lactuca_sativa_5e3,0.5550,0.7972,0.5954
15,Medicago_truncatula_5e3,0.7032,0.8550,0.6808
15,Pisum_sativum_5e3,0.7074,0.8085,0.6581
15,Theobroma_cacao_5e3,0.8191,0.7735,0.7469
16,Brachypodium_distachyon_5e3,0.4336,0.8379,0.5173
16,Brassica_juncea_5e3,0.3637,0.5972,0.4301
16,Brassica_napus_5e3,0.3996,0.8168,0.4821
16,Cajanus_cajan_5e3,0.7644,0.8945,0.7225
16,Glycine_max_5e3,0.7873,0.9274,0.7748
16,Gossypium_raimondii_5e3,0.5140,0.7338,0.5428
16,Lactuca_sativa_5e3,0.5772,0.8572,0.6302
16,Medicago_truncatula_5e3,0.7232,0.9110,0.7106
16,Pisum_sativum_5e3,0.7350,0.8524,0.6812
16,Theobroma_cacao_5e3,0.8219,0.8799,0.7699
17,Brachypodium_distachyon_5e3,0.4679,0.8210,0.5335
17,Brassica_juncea_5e3,0.3970,0.6251,0.4618
17,Brassica_napus_5e3,0.4212,0.8280,0.4954
17,Cajanus_cajan_5e3,0.7705,0.8977,0.7282
17,Glycine_max_5e3,0.7923,0.9300,0.7806
17,Gossypium_raimondii_5e3,0.5500,0.7486,0.5548
17,Lactuca_sativa_5e3,0.6138,0.8569,0.6463
17,Medicago_truncatula_5e3,0.7362,0.9170,0.7224
17,Pisum_sativum_5e3,0.7327,0.8839,0.6896
17,Theobroma_cacao_5e3,0.8387,0.8638,0.7727
18,Brachypodium_distachyon_5e3,0.4806,0.8612,0.5497
18,Brassica_juncea_5e3,0.3959,0.6852,0.4589
18,Brassica_napus_5e3,0.4315,0.8415,0.5066
18,Cajanus_cajan_5e3,0.8149,0.8868,0.7447
18,Glycine_max_5e3,0.8108,0.9367,0.7881
18,Gossypium_raimondii_5e3,0.5573,0.7629,0.5613
18,Lactuca_sativa_5e3,0.6341,0.8718,0.6611
18,Medicago_truncatula_5e3,0.7585,0.9251,0.7372
18,Pisum_sativum_5e3,0.7454,0.8776,0.6957
18,Theobroma_cacao_5e3,0.8354,0.8889,0.7864
19,Brachypodium_distachyon_5e3,0.5184,0.8249,0.5621
19,Brassica_juncea_5e3,0.4122,0.6515,0.4649
19,Brassica_napus_5e3,0.4550,0.8143,0.5093
19,Cajanus_cajan_5e3,0.8191,0.8978,0.7480
19,Glycine_max_5e3,0.8207,0.9269,0.7918
19,Gossypium_raimondii_5e3,0.5734,0.7743,0.5869
19,Lactuca_sativa_5e3,0.6501,0.8509,0.6688
19,Medicago_truncatula_5e3,0.7742,0.9105,0.7414
19,Pisum_sativum_5e3,0.7535,0.8933,0.6993
19,Theobroma_cacao_5e3,0.8402,0.9014,0.7896
20,Brachypodium_distachyon_5e3,0.4304,0.9549,0.5722
20,Brassica_juncea_5e3,0.3092,0.8274,0.4893
20,Brassica_napus_5e3,0.3814,0.9471,0.5171
20,Cajanus_cajan_5e3,0.7455,0.9730,0.7490
20,Glycine_max_5e3,0.7717,0.9755,0.7959
20,Gossypium_raimondii_5e3,0.4796,0.8706,0.5868
20,Lactuca_sativa_5e3,0.5891,0.9455,0.6793
20,Medicago_truncatula_5e3,0.7220,0.9689,0.7488
20,Pisum_sativum_5e3,0.7006,0.9561,0.7059
20,Theobroma_cacao_5e3,0.8111,0.9381,0.7938
21,Brachypodium_distachyon_5e3,0.5488,0.7950,0.5774
21,Brassica_juncea_5e3,0.4222,0.6432,0.4800
21,Brassica_napus_5e3,0.4695,0.8164,0.5251
21,Cajanus_cajan_5e3,0.8305,0.8797,0.7519
21,Glycine_max_5e3,0.8349,0.9113,0.7989
21,Gossypium_raimondii_5e3,0.6105,0.7877,0.5972
21,Lactuca_sativa_5e3,0.6908,0.8152,0.6820
21,Medicago_truncatula_5e3,0.8063,0.8796,0.7536
21,Pisum_sativum_5e3,0.7647,0.8780,0.7069
21,Theobroma_cacao_5e3,0.8567,0.8923,0.7961
22,Brachypodium_distachyon_5e3,0.4973,0.9320,0.5907
22,Brassica_juncea_5e3,0.4130,0.7549,0.4965
22,Brassica_napus_5e3,0.4352,0.9100,0.5368
22,Cajanus_cajan_5e3,0.7959,0.9495,0.7577
22,Glycine_max_5e3,0.8074,0.9696,0.8037
22,Gossypium_raimondii_5e3,0.5548,0.8721,0.6106
22,Lactuca_sativa_5e3,0.6427,0.9330,0.6962
22,Medicago_truncatula_5e3,0.7743,0.9551,0.7619
22,Pisum_sativum_5e3,0.7437,0.9378,0.7112
22,Theobroma_cacao_5e3,0.8201,0.9387,0.7971
23,Brachypodium_distachyon_5e3,0.5326,0.8883,0.5915
23,Brassica_juncea_5e3,0.4586,0.6921,0.5109
23,Brassica_napus_5e3,0.4698,0.8677,0.5389
23,Cajanus_cajan_5e3,0.7989,0.9377,0.7608
23,Glycine_max_5e3,0.8306,0.9518,0.8073
23,Gossypium_raimondii_5e3,0.6187,0.8154,0.6124
23,Lactuca_sativa_5e3,0.6745,0.9104,0.7007
23,Medicago_truncatula_5e3,0.7935,0.9400,0.7656
23,Pisum_sativum_5e3,0.7688,0.9174,0.7160
23,Theobroma_cacao_5e3,0.8457,0.9381,0.8053
24,Brachypodium_distachyon_5e3,0.5670,0.8545,0.6017
24,Brassica_juncea_5e3,0.5137,0.6325,0.5151
24,Brassica_napus_5e3,0.5021,0.8097,0.5423
24,Cajanus_cajan_5e3,0.8450,0.8945,0.7603
24,Glycine_max_5e3,0.8390,0.9410,0.8101
24,Gossypium_raimondii_5e3,0.6297,0.8048,0.6121
24,Lactuca_sativa_5e3,0.7058,0.8805,0.7067
24,Medicago_truncatula_5e3,0.8134,0.9272,0.7710
24,Pisum_sativum_5e3,0.7857,0.8965,0.7199
24,Theobroma_cacao_5e3,0.8711,0.9124,0.8057
25,Brachypodium_distachyon_5e3,0.5241,0.9330,0.6094
25,Brassica_juncea_5e3,0.4313,0.7765,0.5261
25,Brassica_napus_5e3,0.4732,0.9030,0.5553
25,Cajanus_cajan_5e3,0.8063,0.9555,0.7629
25,Glycine_max_5e3,0.8270,0.9658,0.8123
25,Gossypium_raimondii_5e3,0.6078,0.8666,0.6277
25,Lactuca_sativa_5e3,0.6784,0.9373,0.7126
25,Medicago_truncatula_5e3,0.7960,0.9583,0.7754
25,Pisum_sativum_5e3,0.7709,0.9297,0.7217
25,Theobroma_cacao_5e3,0.8374,0.9467,0.8069
26,Brachypodium_distachyon_5e3,0.5416,0.9097,0.6077
26,Brassica_juncea_5e3,0.4555,0.7083,0.5194
26,Brassica_napus_5e3,0.4755,0.8958,0.5539
26,Cajanus_cajan_5e3,0.8197,0.9436,0.7642
26,Glycine_max_5e3,0.8345,0.9626,0.8135
26,Gossypium_raimondii_5e3,0.6229,0.8407,0.6203
26,Lactuca_sativa_5e3,0.6842,0.9296,0.7156
26,Medicago_truncatula_5e3,0.8059,0.9516,0.7774
26,Pisum_sativum_5e3,0.7697,0.9328,0.7228
26,Theobroma_cacao_5e3,0.8532,0.9275,0.8070
27,Brachypodium_distachyon_5e3,0.5362,0.9426,0.6173
27,Brassica_juncea_5e3,0.4295,0.8262,0.5342
27,Brassica_napus_5e3,0.4760,0.9052,0.5590
27,Cajanus_cajan_5e3,0.8207,0.9567,0.7687
27,Glycine_max_5e3,0.8326,0.9674,0.8166
27,Gossypium_raimondii_5e3,0.6234,0.8849,0.6403
27,Lactuca_sativa_5e3,0.6904,0.9363,0.7183
27,Medicago_truncatula_5e3,0.8058,0.9566,0.7796
27,Pisum_sativum_5e3,0.7664,0.9402,0.7257
27,Theobroma_cacao_5e3,0.8624,0.9427,0.8097
28,Brachypodium_distachyon_5e3,0.5730,0.8853,0.6183
28,Brassica_juncea_5e3,0.4759,0.7556,0.5332
28,Brassica_napus_5e3,0.5002,0.8784,0.5627
28,Cajanus_cajan_5e3,0.8355,0.9385,0.7691
28,Glycine_max_5e3,0.8450,0.9558,0.8178
28,Gossypium_raimondii_5e3,0.6371,0.8646,0.6416
28,Lactuca_sativa_5e3,0.7067,0.9232,0.7240
28,Medicago_truncatula_5e3,0.8195,0.9492,0.7835
28,Pisum_sativum_5e3,0.7863,0.9269,0.7269
28,Theobroma_cacao_5e3,0.8632,0.9463,0.8139
29,Brachypodium_distachyon_5e3,0.5643,0.9317,0.6268
29,Brassica_juncea_5e3,0.4847,0.7351,0.5420
29,Brassica_napus_5e3,0.4808,0.9095,0.5662
29,Cajanus_cajan_5e3,0.8234,0.9502,0.7701
29,Glycine_max_5e3,0.8317,0.9721,0.8194
29,Gossypium_raimondii_5e3,0.6156,0.8948,0.6430
29,Lactuca_sativa_5e3,0.6876,0.9445,0.7272
29,Medicago_truncatula_5e3,0.8083,0.9658,0.7866
29,Pisum_sativum_5e3,0.7784,0.9366,0.7295
29,Theobroma_cacao_5e3,0.8529,0.9584,0.8095
30,Brachypodium_distachyon_5e3,0.5850,0.9053,0.6308
30,Brassica_juncea_5e3,0.4759,0.7423,0.5341
30,Brassica_napus_5e3,0.5082,0.8872,0.5736
